,qid,question_text,target
314692,3daa6879e23e31da86da,Is there a sticky note widget that can be edited from Android home screen?,0
43708,088def2b6e90d5d8f922,"If the rotational speed of the earth is increased by 10,000 times, will it then be flat two sided disk with its atmosphere covering it?",0
771017,970c75db9f10c24eb72a,What's so wrong with giving the taxpayers single payer or Medicare for their health care?,0
390300,4c7259fa6713b04941ad,"If the opposite of love is not hate, but apathy, and hate indicates a strong emotional tie, then wouldn't a true atheist not respond to questions like this?",1
954490,bb061e78f33f25a3fbd2,"If Gordon Miller's monthly net income was 6.5k a month, but he had 70k student debt/15k consumer debt, would he invest at all before paying it off?",0
437067,55a502a7f831224cb2d5,Don't you think that Luis Enrique should be sacked for making horrible decisions after decisions?,0
902850,b0e96973c27429b89634,What do Great Britain's look like?,0
620783,79904204749f1377175b,What can prove an existence of gravity?,0
936114,b773e3adf5c7b5904556,Can anyone discuss zoology question paper of CSE main written exam 2016?,0
37890,076813073221a17cf275,What are some of the best SiriusXM channels?,0
940661,b85aa49de662bcc9dbf2,Does shooting a basketball with more rotation reduce the impact of the window on the direction/distance of the ball?,0
62947,0c5aba529f7a3669c694,What are some animals that live in the United States?,0
485001,5ef9a43f3851ab784a62,Can you insure your bike against being stolen?,0
996176,c33533b1c765eb71ba43,What is the best place for bouldering in Cologne?,0
541709,6a2495f2d12c4133bd83,Which medical universities accept international transfer students?,0
869016,aa4488a1fa010fc4ac44,Does RBI recruit MBA grads from mid-tier Indian b-schools?,0
65841,0ce9a7ddaadd06bee8fb,What does it mean to have corneas that are soft for lasik? Will it harden/strengthen overtime?,0
942720,b8bf6409f7560d98eebd,How would you define a 'single camera' sitcom?,0
715116,8bfce975147d9d773707,Why am I still trying to fix a dead relationship?,0
778094,9869b6b1489735146c50,Are radio stations only allowed to play singles?,0
525972,66f870b33d452bc664a3,What are signs of a clingy friend?,0
233266,2d9e99d955e1d4813fe7,Is there a need of scientific write up in jest application form?,0
652372,7fc88f52a6cde2cc1479,"I have a high-value high-cost service. The client wants it & needs it, but are dragging their feet. What tactics can be used to close the deal?",0
628320,7b0b9329859e1d2d3f82,What is the carbohydrate content of cyperus rotundus weed plant?,0
574713,709bb24106d793181d74,How do you know if you have a penis?,0
794347,9ba7769dc09409480cab,Are there any aerospace startups in Pakistan?,0
380954,4aaa7cefc80db2294ab3,"Is there a python package that implements the ""MIMIC"" algorithm?",0
263684,3399c106d34bc358d78c,At what age did Gordon Miller become a millionaire?,0
341351,42dd5abdcb0784c6128e,How do we reduce the supply of heroin and fentanyl in the US?,0
581720,71fb92f004d27cb1a07e,Is there any availability for paper cups in small quantity?,0
813260,9f584b819d5de8cd4b07,"Have Filipinos gotten any part of the gold promised by Marcos? If so, what have been done with it?",0
500848,620f82112840aabb7acd,What are some of the most important characteristics of modern literature?,0
198490,26cc92b159d22de8da7a,"Has anyone ever tried, or considered, a ""lung enema""?",0
626487,7aaf9e931fa98d4fdbc8,What are the effective method to shed weight without starving myself?,0
1038859,cb8ec63610c41c614eb1,Can you narrate a story based on the things or incidents in your surroundings?,0
23149,0489e82aff8fca59c174,"What if Bruce Lee was a Jedi and fought Darth Sidious instead of Windu, when Anakin arrived?",0
238837,2eb841e734ecea65748d,Will we enter an Interstellar cloud in 2036?,0
1301,004034f6e82216ce8714,Is media sensationalism worse than government propaganda?,0
306217,3bfc76718097485a1d81,What do Albanian think of Croatia?,0
696077,8852dbd21a79f1f603cd,Is blocking anyone on WhatsApp gives relief to boys?,0
959229,bbefb849207ca60e7336,Why do plants die if you give them too much water?,0
868083,aa15f3bb085486525fdf,Why does Altair have a missing finger?,0
844575,a582064ca29fee28b94b,What is the scope of a Browning .44 Mag rifle?,0
323334,3f5f30d5d19549b6fb98,What does rocking back and forth mean?,0
7324,016d9eb6617bb5ae2fe1,Did you know Jesus hates religion?,1
882242,acd73855bbb50fa54051,Do virtual nodes show on a hash ring?,0
509173,63b4245ce6573c87c5e2,How do you get rid of a stalker crazy person that your not interested in and how do you get them to stop saying words to you them to get lost and find someone else to bother?,0
641890,7dbabb529a2ac436329d,When did graduating from college/university and attaining a degree become a priority for families in American households?,0
661232,8184e5ae79b5c42ae559,What makes you attractive to others?,0
555268,6ccb7c7c61f2de050758,What is a good analysis of Julius Caesar's biography?,0
6590,0147a644bd43ba9b2a45,How is a glabellar tap done?,0
145552,1c79f0912489bd6460fb,Which course should I apply for if I want to become a director?,0
1026699,c930ae588c24a5eaf3ae,Easyjet is installing airfilters for filtering cabin air. Are there statistics how many times the cabin air is refreshed during intercontinental flights? Lot of travellers feeling sick after long flights.,0
383686,4b30f134517ed5cea364,What is the depiction of zero?,0
588082,733276cb4492edf935a2,What are the side effects of testicular removal surgery?,0
544386,6aa64046fbfeffdc4807,What’s zero to the power of zero?,0
63301,0c6c7f7a6303ddeab880,What is your preferred strategy for investing in stocks?,0
886647,adb7a66d8c2e84fe36a3,Can Hindu names be francized?,0
394539,4d4d24fcaf90e5adbdb3,How contractors earn in government departments in Telangana?,0
376678,49d7609275d3ca410c03,Is there urine vapour in washrooms?,0
776363,98121b64731185f489ac,What are some Non-Fiction best sellers?,0
849203,a661e2fb3bbc76de58f4,Is there any value in saving an inferior creature such as a human?,0
77611,0f313eeef3d999279680,What are some of the nativism arguments that you have heard made today?,0
469552,5bf2b3298a793e262600,How prevalent was schizophrenia in ancient times?,0
37067,073eb1bc0a931f77a422,"Generally speaking, why do Japanese people dislike China?",1
583006,72394602075683e8ff0e,How do you calculate the calories in mozarella cheese?,0
75706,0ed10a2b96dccf77aada,What is the total expenditure for 4 years in SRM NCR? Is it worth it?,0
471047,5c3c9746832a7ad8f500,I've got a rank of 15k in JEE Mains 2017. What are my best options (looking for any NIT only)?,0
897876,afeca9b554f6807f50d9,How should I fix my squat?,0
324117,3f86a22ee3271fff774d,What is the habitat of Gila monsters like?,0
570216,6fb9f01c83f4ba4da66b,Is it Haise or is it Kaneki who loves Touka?,0
748581,92a831ba4e686bc5a7f5,Is there a particular air space over North Pole that is avoided by all airlines?,0
759959,94e682091e913ae9ac83,What Is the differences of absolute and relative poverty?,0
1019033,c7afe09264b814739120,Was there ever any way that the USSR could have won the Cold War?,0
478292,5da7ef0a6595317f72c8,Is 74 too old to collect unemployment insurance?,0
832814,a334bd68e34abf0a510f,How many Americans speak Italian?,0
975350,bf15c0e4e32de375c2cc,Is it possible that one of the proofs of spiritual warfare is the existense of nightmares?,0
477384,5d7c67333b8e3f6daa90,How can I be taken seriously as a teenage entrepreneur who has already had success?,0
292829,39568b282d341f7564dd,What is the real science research on creative visualization?,0
278707,368e1959fa6870956c6d,What are some of the funniest Irish expressions?,0
286813,382a4d02c5b554152a57,"If you were lost in the forest with nothing but trees, what would you be doing?",0
619689,795a0fd2bdd763004301,What are Archimedes' 3 greatest achievements?,0
347458,441316782cbb01d6feb4,Do you think online retail will destroy physical retail shopping?,0
942883,b8c8422ef04fea7feb19,"The only way I feel attractive is by having visible abs, how can I get rid of this unhealthy obsession?",0
1043346,cc7087fa3988cb0eed0d,What do you think about Matilda the Musical?,0
602801,760f3def34df777a6e04,"In case of joint count holders, if the primary holder is abroad and t having Adar card, can the second holder link with the bank account using his aadhar?",0
244904,2fe6729bba23094fea8a,What are marketing types for small business?,0
78845,0f6fc4e7d66da5c204a7,"In a hypothetical situation, if millions of Syrian war victims immigrated to India for refuge, would you as an Indian citizen be comfortable with it?",0
734518,8fdc07cb59aba4a40646,"What is better, CSE from IIIT Bhopal or ICE from NSIT?",0
794874,9bc286b0ec91cc433984,What inspired Corey Taylor to become a singer?,0
673556,83eabbeab119cb1ae299,"In the amidst of life, what we have to do when we realize that everything till now the life we lived by is a false thought that we have chosen?",0
750766,9316f987dfe30be79c31,What can you say to Make Quorans smile?,0
855718,a7a85aed0fece35c7a28,How many people have climbed the towers in Red Square?,0
376102,49ba224bef37043870b1,What amount of money would you need to have saved to pursue your dreams?,0
839532,a4858700f4f920798bee,"Why do democRATs love ILLEGAL alien, law breaker so much?",1
552410,6c3bf0df4b1ba88b9283,Did Ali AlShamsi speak English with thick middle eastern accent that Gordon Miller found it difficult to understand when they first spoke?,0
721787,8d4bfd8fbb4bc6187474,Do you think outrageous comedy films in the vein of Mel Brooks and Monty Python are dead? No one is making them anymore.,0
99443,1378cf65aa662e7568f6,"Do humans have more smart answers to dumb questions, or dumb answers to smart questions?",0
671228,8374d2e42d429453e2d0,What shows up when cops run out of state plates?,0
840774,a4c6d77fd6ab69d45f24,Will I be able to see Orionid meteor shower in Bangalore?,0
276643,36238ab10e3703438ce7,"What is a good pay to live in Cixi, China?",0
469776,5bfd19a53c29aad044bb,Do animal parents still take care of their adult babies?,0
567470,6f306d279422e05b6582,Is it putting all your eggs in one basket if you invest to some mutual fund or ETF?,0
604873,76736a70dbd4884d314a,Do you think cringe compilation videos are funny or just offensive and weird?,0
116532,16ccf1b259e579469568,Why is a hollow-point bullet an expanding bullet?,0
611067,77aa4e15d62a370c9d6a,"When does the Bible call people from Israel isrealites, but that isn't used to describe people from Israel today?",0
733207,8f9b470acc80c8dd2f41,"You can do anything in the world, you hate your spouse, how do you change their diaper?",0
121977,17e0274c8f0fe8605727,What are the most visible differences in values & personality differences between people from Brazil/Latin America vs Finland/Nordics?,0
225947,2c2f945358052e4fdaec,How does an application for patent protect a product?,0
947280,b9a068c0d5e3c3b4358e,"Why do we insult our best friends, dogs, by saying dog and Chinese not allowed?",1
529853,67beaac46ed7dfc9dc87,Why is it illegal for minors to watch pornography?,0
622423,79e22e5b692ddde3be08,Are Mormons completely asking the wrong question when they pray If they should believe the Book of Mormon is true? The verse says to “ask if these things are not true.” So wouldn’t a burning sensation be evidence that “these things are NOT true?,1
620648,798b00d29b851d3445a5,Is the Google in India impressively the same rigor as in the Google in USA?,0
438230,55e0f71983ce115e6c3b,At what rank did EEE and MECH get over in VIT Vellore and Chennai campus?,0
37679,075da135ee9ce2302fec,Do narcissists realize the damage they do others?,0
935777,b76254f52b8f7a239188,What is the meanin of beans?,0
476041,5d38e9d28e181ba6a33a,Can you apply for a dual degree at any of the BITS campuses before completion of first year?,0
69627,0da79ec0e7d5a1c0e1ca,"What is the difference between GWA and GPA? It seems every other college uses GPA. My school uses GWA to refer to our semester grade, and ""Cumulative GWA"" for our total grade from the start of our freshman year. Is GWA even a legit academic jargon?",0
476528,5d52347eaee91c4ec468,What if one man wore all 9 of the rings of men?,0
702601,8993a7ccec9650417496,How does the ratio between the numbers of cats and dogs as pets vary among different countries and regions around the world?,0
416051,5188f5c69b54a9ee0dbb,How does it feel for you to orgasm? Xoxo?,0
149957,1d53f4e88a45e5ffc1f6,How is Daniel Ricciardo off the camera?,0
574704,709b11fa940c970c702e,What is a project in data science consulting like?,0
570692,6fd1f619b64792bb5e25,"I’m new to drawing and I make decent drawings from reference, but when I try to make something completely new without any reference my drawings look really bad. How do I make my own original drawings?",0
76627,0efe81fc33888c7f39ee,"If I were to make a castle, what would be the most advantageous shape to make the outside wall?",0
439625,5626c8f1c7c7434db4b0,Why do law schools fail to graduate people who can actually practice law if the purpose of law school is to produce capable lawyers?,0
1019683,c7d02bf986ed4b046c90,What? According to you should be the role of these for the reform of convict's case,0
345415,43ad832db9f49c8e136a,How much do you have to work to get at least AAA at A level?,0
305185,3bc7303ac7c9b5d817d3,Are books downloaded on monoskop.org legal?,0
570994,6fe2c3db2e11b3834437,What do you think about Marital rape? Is it good for the present society?,0
1027286,c94f110e77d4f156fb2b,Is there any travelling involved in Web development job? If yes then whats the career path?,0
540038,69ce6a23006ad3bd5f37,Is Google Pixel Book worth the $1000 price Tag? If so then what are its unique Features.?,0
208836,28d7dd7f8fa27bb416af,How Indian Bhagat Singh expressed his patriotism?,0
72312,0e2d4de0c73c77b8cd02,Framing of English grammer is compulsory for CA intermediate written examinations?,0
634548,7c459cd36c04483f97a7,How can I make my phone compatible with PUBG Mobile?,0
92339,121727c56f1053708362,How can I stop being hopeless at learning new languages? I am a part of my country's problem of poor language education.,0
706628,8a5d6a7228cfe4dfb736,Why should someone visit the Museum of Witchcraft and Magic in Cornwall?,0
308128,3c5cf74b455aa510395a,What happened to the ABBA group members?,0
861433,a8c51593b46d8e88231d,How do I self study to get into IIT Bombay (mechanical dept. preferably)?,0
816534,a0000b021b66feaac7f9,“Three times the number of chairs should be greater than twice the number of benches” …how can we write this as a system of inequalities?,0
314766,3dad9241cb6be9d01051,Have you ever been fired because of something that was said by someone else that was not true?,0
743758,91ad5ab96cfae60e4d9a,What theory of punishment does capital punishment agere to?,0
599452,75688592c20114885aff,Is ZYKLENE safe/effective for dogs?,0
792947,9b5fbb468a39ffb963cc,"Im a greencard holder for last 5yrs mostly stayed out of US,spend total of 8mnths (not continuous) in US. After How long can I apply for citizenship?",0
215325,2a1d827cee323f9a8662,Are you doing your masters at MIT?,0
962336,bc8b886aa0b8c9f59d37,Why do I have a brown discharge 14 days after my period?,0
805862,9de4828fe4d7ab61bd37,Are there any 2D Disney movies without a character singing a song?,0
812251,9f25b2c64d7d0454a273,"I read you registered for NMIMS distance learning, I wanted to know how the experience is and what are the advantages/disadvantages? Has it helped you build your career?",0
153947,1e1c16cac3bd20976c30,"Is it normal that not a single moment of the day passes without a self-deprecating thought? Am I weird, or do many humans feel the same?",0
351678,44ecf0eb3638df8da5e2,What does refused mean when you go for a green card?,0
658720,81082f6f17fdb40b5e0f,How do I find dating app profiles?,0
1039099,cb9a0e4431601f4c4b32,What stigmas do Indians face for seeking professional help for their mental health?,0
94345,1275f7ef62dcf00672c0,How can I pass in economics class 12 by studing just theory?,0
214473,29f3ac388c8d9636deea,Who is interested in starting up a business?,0
143445,1c11e92ea665601ffb16,Do you think that gay people should be allowed to marry?,0
964875,bd09b80534470073ae49,The marksheet issued by CBSE after clearing the compartment exam shows the result for that particular subject only or for all the subjects?,0
40800,07fbfe516b2561b182f5,What are the similarities between guidance counselling and moral education?,0
671149,83712c42b9eeac8b6b5a,How do I teach myself science?,0
112417,15fe627143738631184f,What is basic notion frederick sontag of metaphysics?,0
779240,98a55dfb4fd6fc67b2bf,"Can I say ""good deeds"" to seller after buying something? Is it incorrect?",0
382358,4aefdf7df2c5f64a514d,Is there any way to find out what Health insurance a company offers before you apply for a job?,0
716688,8c4dcc8aba54521b092a,Did prophet Muhammad live a simple and humble life who had limited means and a life poor mans life? For short what was his wealth status?,0
979550,bfe60c79822993226f35,What has gotten better in Africa since white supremacy surfaced to rule Africa?,0
6876,015686323a2847fa45ba,How do you download the full version of a sample book on Play Books?,0
1036334,cb11f0894172c470bfd7,"I told my crush I liked him and asked him if he wanted to hangout maybe, he said he would get back to me tomorrow. Is he going to reject me? And if so, any advice on how to handle rejection?",0
333975,4172ce410c22b6e8f18b,Did dinosaurs ever experience blizzards? Did wooly mammoths ever experience heatwaves?,0
500797,620cfc6c54078cf53e0c,What voice recognition software is recommended for a call center?,0
113890,1648ba9ab6ff4e0e92cc,Do you think Petyr Baelish is underestimated?,0
679334,850c3d94f52d9e8a69b1,Out of all the Africans who contributed towards the fight against apartheid why is it only Nigerians who seem to think South Africans owe them something?,1
804499,9da2dc6e2582a15d1eab,Can Adolf Hitler be considered the founder of the state of Israel?,1
674023,8402541fcd60d2f713e1,Would I exist if my parents had never met? Would I be born to a different mother or father?,0
519115,65a1f7e8f7c0c6d7561f,"What exactly is talent in trading? Can it be described accurately? I.e in sports like basketball, it's physical talent (height, athleticism, big hands, wing span) and basketball IQ (innate understanding of physiology, awareness, court vision etc.)?",0
41278,0811e4ad5e7d46c81a6d,"If you had been allowed to name yourself when you were 12 years old, what would your name be?",0
402279,4ed246be141cfbe85df0,How can milk affect a strep throat?,0
797904,9c59eb4532295f41ecae,Is the May 18th school shooting in Texas proof that gun free zones aren't the problem?,0
138714,1b27cac0451748d7b894,What is the process of become a data scientist?,0
999861,c3f12e27b4bbe9ece87f,How will you make 2017 a year well lived?,0
472360,5c7e6164ea23300b48e4,Why haven’t the American people or Press considered the possibility that the Trump-Russian Conspiracy” may be a part of a COINTELPRO project?,1
820289,a0badeebbaa8ff0477b0,It is raining cats and dogs?,0
942789,b8c2e3543de9054e1de8,What will Amazon do with Alexa next?,0
1046646,cd17e8c85cb6304905ee,What are the prospective settlement opportunities in Canada for a Pediatrician in India?,0
537697,6952191ec89e58ac28ed,How do you concentrate on more than one big project?,0
363861,4752d6e76e5213786742,How can I take care of my brain and how do I keep it in good health as well as myself?,0
508945,63a7fb94843bc478a461,"Why in Southeast Asia, Singapore's port is dominating? Why don't the cargo ships just directly go to the biggest market in the area, such as to a port in mainland Southeast Asia or to Jawa island? Why they need to stop by in Singapore first?",0
163271,1fecea1790aa55a6d0c3,Are there any pro boxers who started their career in their late 20s?,0
984448,c0e0b5ec58873a11d785,Which are the different programs can be conducted in a college on the basis of economics?,0
701558,895db6f434c724fd7356,How much does it cost to rent a room in French Guiana in a house with electricity and running water?,0
707213,8a79acac45e08a89ad3e,Someone in the world is Batman. Who would it most likely be?,0
692337,879b31a0825afbcce508,What would you suggest to a person who is asking you about a good career suggestion after B.Tech?,0
1281,003f6d2f760c16445cb9,Would it be possible to create a better and bigger version of Auschwitz with giant incinerators rather than gas chambers?,1
1029661,c9c4c3c8c0357f4a917e,"After the Google conference, did Java really died?",0
950262,ba35b3e7a05ccb1eac59,Can some one tell me how good Chinese women are in bed?,1
755286,93fa3c2860c17c90c6b7,Is it easier for returning NS-men (Singapore) to get into NUS and other local universities?,0
71361,0dfd941711cb31612d7b,How can the new chip enabled cash cards slow down ATM transactions so much?,0
220687,2b2fc0efa2dd510b7510,How many teeth do needle fish have?,0
590550,73aedb0ab507322762d5,Compare the impacts of material science par with spiritual science? Which is a limited science? And Which is a science of vastness?,0
584537,72850cedfac3f635cd74,Why was the Night King created in GOT?,0
55123,0ad0de6cf67a64936ec4,What would you do if you love someone and he/she is ignoring you and that distract you from your aim?,0
9644,01e24ba7f0e76e8688fb,"Can anyone share with me anthropology study materials like Braintree, Muniratnam Reddy, and others as per the syllabus prescribed by UPSC?",0
937615,b7c033e72b185d92632d,Is it ok to give away a dog bed if your dog didn't use it?,0
634348,7c3ae3adee211fa2f753,"If given a choice, would you change your name from Zoya Sheikh to Zoya Cake?",0
37677,075d9eec8cab382c65fa,How can I be better at trading penny stocks?,0
841630,a4f39cf4a6175bb2768b,Can I get keventers in Pune?,0
743822,91b09f60a85b7279f0a6,Is there any group A post for lawyers in NIA or IB?,0
361876,46ed76f2645164537d68,What are the causes of Nigeria civil war?,0
23669,04a384bc70580ec0294b,What is the one thing about Indian men that makes no sense?,1
776332,9810f1f3b671421a565f,What is the maximum salary paid to an Indian in UAE?,0
807035,9e219dabf30d4c511493,"Where should I go when visiting Killarney, Ireland?",0
517058,653ecd469b668572fe6f,How is E rickshaw not popular yet?,0
469143,5bddfd9947598c0b32eb,How do I become a DSTV distributor dealer in Nigeria?,0
711302,8b40303fef3ce4e81b6f,"Some people regard Tesla as one of the greatest geniuses of all time. In his later years, he claimed to have invented ways of transmitting electric power without wires. See what you can find out about this, Why don’t we use these ideas today?",0
248234,3090a90a0373faec571c,If $f_{(1)} =1=f_{(2)} $ and $f_{(n)} =f_ {(n-1)} +f_ {(n-2)} $ how I prove that $\displaystyle \sum_ {k=1} ^n f_{(k)} = \sum_ {k=1} ^ {\frac {n} {2}} \bigg (\sum_ {p=1} ^ {k-1} \big (\binom {k+p} {2p+1} + \binom {k+p-1} {2p} \big) \bigg) $?,0
436457,5588fb9a30bbceef98c7,What are the advantage and disadvantage of buying an royal Enfield?,0
156341,1e9680b5c1967fe0ba9d,Are there any support groups in Mumbai for individuals going through a divorce for legal guidance and emotional support?,0
364562,47779cc3d575bfb05d79,Why are degrees offered for majors that aren’t lucrative?,0
966946,bd71962e611a0508fbec,Can I get pregnant 12 days after my period?,0
836030,a3d4fb922d81c4cc02ff,Do you love dressage?,0
795719,9beee826979d052be78a,What are the latest wedding fashion trends for summer 2017?,0
124353,18580c49005f1a3608e2,"In the world of One Piece, is there a mainland or is it all islands?",0
844410,a579c2ff487d3ac2b5bf,I like drawing but I’m really not good at it. What should I do?,0
603896,764434d12980b5180b4d,What do the paintings on goalie masks symbolize?,0
908880,b217580e38115bdaa0cc,What are the steps for training a machine learning over some data?,0
589305,7370ba968fbfbd5ed03c,What motivated Penelope Heyns to become a swimmer?,0
180166,23374af9a8cfc63af0fa,What are the best fanfictions of Percy Jackson reading the series?,0
899080,b0277a92091103fc3510,How was Hyosung established?,0
386584,4bbcdbca903d2d432de2,What is the best way to clean a David Yurman ring?,0
1024011,c8aaabb3858d5cc8937a,"What are the marketing strategies used in Santa Anita, California by AMC Theatres?",0
307588,3c3ff87f7da1d6f36a8e,What was your average score in AIATS and in the Aakash revision tests in April?,0
551664,6c15c49dfa6b24c365f1,Can a CD only temporarily decay?,0
723154,8d94d68e2483da30eb79,What are some tips to get really skinny fast?,0
346202,43d36b586276e1d00f55,Do narcissists usually have friendships with other narcissists?,0
714751,8be92a954958d2f573f3,Did you regret moving to New Zealand?,0
661903,81a5b34c4028f3f77421,Are huge successes just made out of deception?,0
62857,0c569882019ecac0810e,How should a professional design his/ her own studio?,0
1043515,cc78d832f531daf19bec,What does I'm head over boots for you mean?,0
431585,5495ba2fc3d5a32404f7,The Earth rotates as well as revolves around the Sun on its tilted axis. What would happen if the Earth stopped revolving around the Sun?,0
150313,1d65581cca7e03b01479,Can I give AIIMS PG with USMLE coaching?,0
293858,398a48f6ee5b56fb98f6,How can software engineers get the satisfaction and respect that doctors and nurses get when people love them for their service?,0
51048,0a02585383a06badcebf,Do you know any anecdote about Shivaji Maharaj that show his openness to learn from anyone?,0
695409,8833d1ead049c3fe720d,Why do mainland Chinese people who make racially based disparaging comments about non-Chinese think of themselves as not racial bigots?,1
529421,67a8a896e30899ff66f6,So does turkey have poor oil or do they have rich oil?,0
49955,09c87ba5160d6813492e,Why does varys testify against Tyrion?,0
193948,25eba5e14dc165d31d72,"I am 3rd year CS student with specialization in business analyst, CGPA 6.0, Where can I get internship for business analyst?",0
658566,80ff693b2ff6b5b5ef01,Does the University of Iowa superscore the SAT?,0
820752,a0d27a48b470ac701340,What are the top sightseeing places in Delhi?,0
638557,7d133782a850dc7306ec,Can any one tell me how can I be working at home and get paid?,0
181150,23679ad9c2a9c22ca5be,What is the best way to eat out a girl?,1
544085,6a97de775e4fa92eb7d5,"How have the placements for all the brances been this year, at Thapar university?",0
261283,3323cfe5daf05784b699,How can you lengthen your attention span?,0
684250,8605cff00b4b79dca314,How is it being a gay teen when all your friends are straight?,0
775462,97e5505ac909b099094f,Have you ever loved someone who is immature while you have expectation towards marriage?,0
989403,c1d9173023d30f720255,How can I be stable when everything is uncertain and unstable?,0
107919,15214f84ad87c3a718cf,What is your favorite question to ask people and why?,0
222007,2b6e4e9303be7f894f77,Is Ben Carson's assertion that poverty is just an attitude problem true?,0
528375,67737c27244492ee5a8e,What makes some conservatives think that America lost its global reputation under Obama and is regaining it under Trump?,0
959165,bbec1cb66a58536d36c3,Do men choose attractive girl to have sex with or they are able to take any girls that comes along or both?,0
427571,53cdbc7cf7be7e8be206,Would you rather use a water pick or dental floss?,0
554471,6ca391f72ef7be878a3c,What tribes did the Pennsylvania colony interact with?,0
718345,8ca18fcf252f23170647,Will the Catholic Church come to an end?,0
635753,7c85a894e8e8c16c5568,What’s a good question for conversation on a first date?,0
74857,0ea72e59dc82b519d729,How have Beats headphones changed since Apple bought the company?,0
142776,1bf030fab14a87341844,What are some short stories about physics?,0
445500,574922b0dce29d1f7396,What happen to the eggs if by chance we put salt in water in which eggs are boiling?,0
653518,800218e63e7e9b971e82,Why did EU do whatever the US ordered them to do which made the EU seem to be a part of the US?,0
203027,27ae92fa4c606edd059e,"In Assassin's Creed: Origin there is a equipment called Spaniard's armor, that was 48 BC, but I thought Spain is created at 1479 AD?",0
988306,c19ea32a38c59f7d3f22,How do I ensure that two female friends staying with me do not get to know that I am sleeping with both of them?,0
471403,5c4f2b99d3a82d13a82d,Are the prime time discussions on Indian News channels fixed?,0
